Nacionalidad;Sexo;Año;Total
Belarús;Hombres;2002;375
Belarús;Hombres;2001;151
Belarús;Hombres;2000;76
Belarús;Hombres;1999;40
Belarús;Hombres;1998;54
Belarús;Mujeres;2022;4.152
Belarús;Mujeres;2021;3.802
Belarús;Mujeres;2020;3.894
Belarús;Mujeres;2019;3.667
Belarús;Mujeres;2018;3.426
Belarús;Mujeres;2017;3.160
Belarús;Mujeres;2016;2.947
Belarús;Mujeres;2015;2.805
Belarús;Mujeres;2014;2.736
Belarús;Mujeres;2013;2.634
Belarús;Mujeres;2012;2.558
Belarús;Mujeres;2011;2.427
Belarús;Mujeres;2010;2.341
Belarús;Mujeres;2009;2.265
Belarús;Mujeres;2008;2.130
Belarús;Mujeres;2007;1.941
Belarús;Mujeres;2006;1.945
Belarús;Mujeres;2005;1.661
Belarús;Mujeres;2004;1.227
Belarús;Mujeres;2003;895
Belarús;Mujeres;2002;540
Belarús;Mujeres;2001;255
Belarús;Mujeres;2000;138
Belarús;Mujeres;1999;66
Belarús;Mujeres;1998;71
Bosnia y Herzegovina;Ambos sexos;2022;1.182
Bosnia y Herzegovina;Ambos sexos;2021;1.192
Bosnia y Herzegovina;Ambos sexos;2020;1.220
Bosnia y Herzegovina;Ambos sexos;2019;1.209
Bosnia y Herzegovina;Ambos sexos;2018;1.189
Bosnia y Herzegovina;Ambos sexos;2017;1.148
Bosnia y Herzegovina;Ambos sexos;2016;1.159
Bosnia y Herzegovina;Ambos sexos;2015;1.194
Bosnia y Herzegovina;Ambos sexos;2014;1.288
Bosnia y Herzegovina;Ambos sexos;2013;1.388
Bosnia y Herzegovina;Ambos sexos;2012;1.400
Bosnia y Herzegovina;Ambos sexos;2011;1.481
Bosnia y Herzegovina;Ambos sexos;2010;1.592
Bosnia y Herzegovina;Ambos sexos;2009;1.674
Bosnia y Herzegovina;Ambos sexos;2008;1.683
Bosnia y Herzegovina;Ambos sexos;2007;1.659
Bosnia y Herzegovina;Ambos sexos;2006;1.827
Bosnia y Herzegovina;Ambos sexos;2005;1.946
Bosnia y Herzegovina;Ambos sexos;2004;1.691
Bosnia y Herzegovina;Ambos sexos;2003;1.823
Bosnia y Herzegovina;Ambos sexos;2002;1.609
Bosnia y Herzegovina;Ambos sexos;2001;1.382
Bosnia y Herzegovina;Ambos sexos;2000;1.178
Bosnia y Herzegovina;Ambos sexos;1999;1.024
Bosnia y Herzegovina;Ambos sexos;1998;917
Bosnia y Herzegovina;Hombres;2022;575
Bosnia y Herzegovina;Hombres;2021;584
Bosnia y Herzegovina;Hombres;2020;606
Bosnia y Herzegovina;Hombres;2019;599
Bosnia y Herzegovina;Hombres;2018;595
Bosnia y Herzegovina;Hombres;2017;587
Bosnia y Herzegovina;Hombres;2016;588
Bosnia y Herzegovina;Hombres;2015;606
Bosnia y Herzegovina;Hombres;2014;661
Bosnia y Herzegovina;Hombres;2013;708
Bosnia y Herzegovina;Hombres;2012;721
Bosnia y Herzegovina;Hombres;2011;774
Bosnia y Herzegovina;Hombres;2010;844
Bosnia y Herzegovina;Hombres;2009;903
Bosnia y Herzegovina;Hombres;2008;917
Bosnia y Herzegovina;Hombres;2007;899
Bosnia y Herzegovina;Hombres;2006;955
Bosnia y Herzegovina;Hombres;2005;1.007
Bosnia y Herzegovina;Hombres;2004;855
Bosnia y Herzegovina;Hombres;2003;929
Bosnia y Herzegovina;Hombres;2002;833
Bosnia y Herzegovina;Hombres;2001;704
Bosnia y Herzegovina;Hombres;2000;591
Bosnia y Herzegovina;Hombres;1999;497
Bosnia y Herzegovina;Hombres;1998;442
Bosnia y Herzegovina;Mujeres;2022;607
Bosnia y Herzegovina;Mujeres;2021;608
Bosnia y Herzegovina;Mujeres;2020;614
Bosnia y Herzegovina;Mujeres;2019;610
Bosnia y Herzegovina;Mujeres;2018;594
Bosnia y Herzegovina;Mujeres;2017;561
Bosnia y Herzegovina;Mujeres;2016;571
Bosnia y Herzegovina;Mujeres;2015;588
Bosnia y Herzegovina;Mujeres;2014;627
Bosnia y Herzegovina;Mujeres;2013;680
Bosnia y Herzegovina;Mujeres;2012;679
Bosnia y Herzegovina;Mujeres;2011;707
Bosnia y Herzegovina;Mujeres;2010;748
Bosnia y Herzegovina;Mujeres;2009;771
Bosnia y Herzegovina;Mujeres;2008;766
Bosnia y Herzegovina;Mujeres;2007;760
Bosnia y Herzegovina;Mujeres;2006;872
Bosnia y Herzegovina;Mujeres;2005;939
Bosnia y Herzegovina;Mujeres;2004;836
Bosnia y Herzegovina;Mujeres;2003;894
Bosnia y Herzegovina;Mujeres;2002;776
Bosnia y Herzegovina;Mujeres;2001;678
Bosnia y Herzegovina;Mujeres;2000;587
Bosnia y Herzegovina;Mujeres;1999;527
Bosnia y Herzegovina;Mujeres;1998;475
Georgia;Ambos sexos;2022;20.655
Georgia;Ambos sexos;2021;20.550
Georgia;Ambos sexos;2020;20.824
Georgia;Ambos sexos;2019;17.704
Georgia;Ambos sexos;2018;15.057
Georgia;Ambos sexos;2017;13.620
Georgia;Ambos sexos;2016;12.649
Georgia;Ambos sexos;2015;11.933
Georgia;Ambos sexos;2014;11.664
Georgia;Ambos sexos;2013;11.727
Georgia;Ambos sexos;2012;11.629
Georgia;Ambos sexos;2011;11.231
Georgia;Ambos sexos;2010;11.133
Georgia;Ambos sexos;2009;11.144
Georgia;Ambos sexos;2008;9.562
Georgia;Ambos sexos;2007;7.355
Georgia;Ambos sexos;2006;6.284
Georgia;Ambos sexos;2005;5.160
Georgia;Ambos sexos;2004;3.903
Georgia;Ambos sexos;2003;2.907
Georgia;Ambos sexos;2002;1.772
Georgia;Ambos sexos;2001;878
Georgia;Ambos sexos;2000;360
Georgia;Ambos sexos;1999;236
Georgia;Ambos sexos;1998;142
Georgia;Hombres;2022;9.636
Georgia;Hombres;2021;9.537
Georgia;Hombres;2020;9.629
Georgia;Hombres;2019;8.089
Georgia;Hombres;2018;6.861
Georgia;Hombres;2017;6.279
Georgia;Hombres;2016;5.882
Georgia;Hombres;2015;5.619
Georgia;Hombres;2014;5.581
Georgia;Hombres;2013;5.717
Georgia;Hombres;2012;5.879
Georgia;Hombres;2011;5.916
Georgia;Hombres;2010;6.192
Georgia;Hombres;2009;6.547
Georgia;Hombres;2008;5.906
Georgia;Hombres;2007;4.597
Georgia;Hombres;2006;3.972
Georgia;Hombres;2005;3.302
Georgia;Hombres;2004;2.515
Georgia;Hombres;2003;1.888
Georgia;Hombres;2002;1.149
Georgia;Hombres;2001;531
Georgia;Hombres;2000;187
Georgia;Hombres;1999;107
Georgia;Hombres;1998;71
Georgia;Mujeres;2022;11.019
Georgia;Mujeres;2021;11.013
Georgia;Mujeres;2020;11.195
Georgia;Mujeres;2019;9.615
Georgia;Mujeres;2018;8.196
Georgia;Mujeres;2017;7.341
Georgia;Mujeres;2016;6.767
Georgia;Mujeres;2015;6.314
Georgia;Mujeres;2014;6.083
Georgia;Mujeres;2013;6.010
Georgia;Mujeres;2012;5.750
Georgia;Mujeres;2011;5.315
Georgia;Mujeres;2010;4.941
Georgia;Mujeres;2009;4.597
Georgia;Mujeres;2008;3.656
Georgia;Mujeres;2007;2.758
Georgia;Mujeres;2006;2.312
Georgia;Mujeres;2005;1.858
Georgia;Mujeres;2004;1.388
Georgia;Mujeres;2003;1.019
Georgia;Mujeres;2002;622
Georgia;Mujeres;2001;347
Georgia;Mujeres;2000;173
Georgia;Mujeres;1999;128
Georgia;Mujeres;1998;72
Islandia;Ambos sexos;2022;1.506
Islandia;Ambos sexos;2021;1.431
Islandia;Ambos sexos;2020;1.468
Islandia;Ambos sexos;2019;1.255
Islandia;Ambos sexos;2018;1.079
Islandia;Ambos sexos;2017;983
Islandia;Ambos sexos;2016;1.066
Islandia;Ambos sexos;2015;1.083
Islandia;Ambos sexos;2014;1.120
Islandia;Ambos sexos;2013;1.420
Islandia;Ambos sexos;2012;1.427
Islandia;Ambos sexos;2011;1.391
Islandia;Ambos sexos;2010;1.433
Islandia;Ambos sexos;2009;1.387
Islandia;Ambos sexos;2008;1.243
Islandia;Ambos sexos;2007;1.083
Islandia;Ambos sexos;2006;920
Islandia;Ambos sexos;2005;728
Islandia;Ambos sexos;2004;580
Islandia;Ambos sexos;2003;603
Islandia;Ambos sexos;2002;443
Islandia;Ambos sexos;2001;303
Islandia;Ambos sexos;2000;243
Islandia;Ambos sexos;1999;206
Islandia;Ambos sexos;1998;202
Islandia;Hombres;2022;761
Islandia;Hombres;2021;714
Islandia;Hombres;2020;720
Islandia;Hombres;2019;609
Islandia;Hombres;2018;537
Islandia;Hombres;2017;478
Islandia;Hombres;2016;534
Islandia;Hombres;2015;524
Islandia;Hombres;2014;540
Islandia;Hombres;2013;689
Islandia;Hombres;2012;693
Islandia;Hombres;2011;680
Islandia;Hombres;2010;701
Islandia;Hombres;2009;673
Islandia;Hombres;2008;607
Islandia;Hombres;2007;531
Islandia;Hombres;2006;441
Islandia;Hombres;2005;346
Islandia;Hombres;2004;272
Islandia;Hombres;2003;264
Islandia;Hombres;2002;193
Islandia;Hombres;2001;134
Islandia;Hombres;2000;107
Islandia;Hombres;1999;93
Islandia;Hombres;1998;102
Islandia;Mujeres;2022;745
Islandia;Mujeres;2021;717
Islandia;Mujeres;2020;748
Islandia;Mujeres;2019;646
Islandia;Mujeres;2018;542
Islandia;Mujeres;2017;505
Islandia;Mujeres;2016;532
Islandia;Mujeres;2015;559
Islandia;Mujeres;2014;580
Islandia;Mujeres;2013;731
Islandia;Mujeres;2012;734
Islandia;Mujeres;2011;711
Islandia;Mujeres;2010;732
Islandia;Mujeres;2009;714
Islandia;Mujeres;2008;636
Islandia;Mujeres;2007;552
Islandia;Mujeres;2006;479
Islandia;Mujeres;2005;382
Islandia;Mujeres;2004;308
Islandia;Mujeres;2003;339
Islandia;Mujeres;2002;250
Islandia;Mujeres;2001;169
Islandia;Mujeres;2000;136
Islandia;Mujeres;1999;113
Islandia;Mujeres;1998;100
Liechtenstein;Ambos sexos;2022;33
Liechtenstein;Ambos sexos;2021;30
Liechtenstein;Ambos sexos;2020;34
Liechtenstein;Ambos sexos;2019;33
Liechtenstein;Ambos sexos;2018;32
Liechtenstein;Ambos sexos;2017;33
Liechtenstein;Ambos sexos;2016;41
Liechtenstein;Ambos sexos;2015;46
Liechtenstein;Ambos sexos;2014;44
Liechtenstein;Ambos sexos;2013;51
Liechtenstein;Ambos sexos;2012;52
Liechtenstein;Ambos sexos;2011;61
Liechtenstein;Ambos sexos;2010;58
Liechtenstein;Ambos sexos;2009;58
Liechtenstein;Ambos sexos;2008;51
Liechtenstein;Ambos sexos;2007;48
Liechtenstein;Ambos sexos;2006;46
Liechtenstein;Ambos sexos;2005;43
Liechtenstein;Ambos sexos;2004;39
Liechtenstein;Ambos sexos;2003;51
Liechtenstein;Ambos sexos;2002;43
Liechtenstein;Ambos sexos;2001;38
Liechtenstein;Ambos sexos;2000;33
Liechtenstein;Ambos sexos;1999;25
Liechtenstein;Ambos sexos;1998;69
Liechtenstein;Hombres;2022;16
Liechtenstein;Hombres;2021;14
Liechtenstein;Hombres;2020;16
Liechtenstein;Hombres;2019;15
Liechtenstein;Hombres;2018;15
Liechtenstein;Hombres;2017;16
Liechtenstein;Hombres;2016;19
Liechtenstein;Hombres;2015;21
Liechtenstein;Hombres;2014;22
Liechtenstein;Hombres;2013;25
Liechtenstein;Hombres;2012;27
Liechtenstein;Hombres;2011;33
Liechtenstein;Hombres;2010;33
Liechtenstein;Hombres;2009;32
Liechtenstein;Hombres;2008;28
Liechtenstein;Hombres;2007;26
Liechtenstein;Hombres;2006;24
Liechtenstein;Hombres;2005;18
Liechtenstein;Hombres;2004;17
Liechtenstein;Hombres;2003;19
Liechtenstein;Hombres;2002;15
Liechtenstein;Hombres;2001;11
Liechtenstein;Hombres;2000;11
Liechtenstein;Hombres;1999;10
Liechtenstein;Hombres;1998;27
Liechtenstein;Mujeres;2022;17
Liechtenstein;Mujeres;2021;16
Liechtenstein;Mujeres;2020;18
Liechtenstein;Mujeres;2019;18
Liechtenstein;Mujeres;2018;17
Liechtenstein;Mujeres;2017;17
Liechtenstein;Mujeres;2016;22
Liechtenstein;Mujeres;2015;25
Liechtenstein;Mujeres;2014;22
Liechtenstein;Mujeres;2013;26
Liechtenstein;Mujeres;2012;25
Liechtenstein;Mujeres;2011;28
Liechtenstein;Mujeres;2010;25
Liechtenstein;Mujeres;2009;26
Liechtenstein;Mujeres;2008;23
Liechtenstein;Mujeres;2007;22
Liechtenstein;Mujeres;2006;22
Liechtenstein;Mujeres;2005;25
Liechtenstein;Mujeres;2004;22
Liechtenstein;Mujeres;2003;32
Liechtenstein;Mujeres;2002;28
Liechtenstein;Mujeres;2001;27
Liechtenstein;Mujeres;2000;22
Liechtenstein;Mujeres;1999;15
Liechtenstein;Mujeres;1998;42
Macedonia del Norte;Ambos sexos;2022;688
Macedonia del Norte;Ambos sexos;2021;679
Macedonia del Norte;Ambos sexos;2020;713
Macedonia del Norte;Ambos sexos;2019;686
Macedonia del Norte;Ambos sexos;2018;649
Macedonia del Norte;Ambos sexos;2017;605
Macedonia del Norte;Ambos sexos;2016;598
Macedonia del Norte;Ambos sexos;2015;564
Macedonia del Norte;Ambos sexos;2014;584
Macedonia del Norte;Ambos sexos;2013;603
Macedonia del Norte;Ambos sexos;2012;620
Macedonia del Norte;Ambos sexos;2011;583
Macedonia del Norte;Ambos sexos;2010;527
Macedonia del Norte;Ambos sexos;2009;530
Macedonia del Norte;Ambos sexos;2008;473
Macedonia del Norte;Ambos sexos;2007;407
Macedonia del Norte;Ambos sexos;2006;432
Macedonia del Norte;Ambos sexos;2005;402
Macedonia del Norte;Ambos sexos;2004;334
Macedonia del Norte;Ambos sexos;2003;332
Macedonia del Norte;Ambos sexos;2002;265
Macedonia del Norte;Ambos sexos;2001;175
Macedonia del Norte;Ambos sexos;2000;103
Macedonia del Norte;Ambos sexos;1999;66
Macedonia del Norte;Ambos sexos;1998;103
Macedonia del Norte;Hombres;2022;335
Macedonia del Norte;Hombres;2021;326
Macedonia del Norte;Hombres;2020;343
Macedonia del Norte;Hombres;2019;334
Macedonia del Norte;Hombres;2018;325
Macedonia del Norte;Hombres;2017;307
Macedonia del Norte;Hombres;2016;307
Macedonia del Norte;Hombres;2015;294
Macedonia del Norte;Hombres;2014;303
Macedonia del Norte;Hombres;2013;316
Macedonia del Norte;Hombres;2012;321
Macedonia del Norte;Hombres;2011;297
Macedonia del Norte;Hombres;2010;270
Macedonia del Norte;Hombres;2009;271
Macedonia del Norte;Hombres;2008;256
Macedonia del Norte;Hombres;2007;239
Macedonia del Norte;Hombres;2006;256
Macedonia del Norte;Hombres;2005;241
Macedonia del Norte;Hombres;2004;201
Macedonia del Norte;Hombres;2003;198
Macedonia del Norte;Hombres;2002;153
Macedonia del Norte;Hombres;2001;101
Macedonia del Norte;Hombres;2000;60
Macedonia del Norte;Hombres;1999;38
Macedonia del Norte;Hombres;1998;48
Macedonia del Norte;Mujeres;2022;353
Macedonia del Norte;Mujeres;2021;353
Macedonia del Norte;Mujeres;2020;370
Macedonia del Norte;Mujeres;2019;352
Macedonia del Norte;Mujeres;2018;324
Macedonia del Norte;Mujeres;2017;298
Macedonia del Norte;Mujeres;2016;291
Macedonia del Norte;Mujeres;2015;270
Macedonia del Norte;Mujeres;2014;281
Macedonia del Norte;Mujeres;2013;287
Macedonia del Norte;Mujeres;2012;299
Macedonia del Norte;Mujeres;2011;286
Macedonia del Norte;Mujeres;2010;257
Macedonia del Norte;Mujeres;2009;259
Macedonia del Norte;Mujeres;2008;217
Macedonia del Norte;Mujeres;2007;168
Macedonia del Norte;Mujeres;2006;176
Macedonia del Norte;Mujeres;2005;161
Macedonia del Norte;Mujeres;2004;133
Macedonia del Norte;Mujeres;2003;134
Macedonia del Norte;Mujeres;2002;112
Macedonia del Norte;Mujeres;2001;74
Macedonia del Norte;Mujeres;2000;43
Macedonia del Norte;Mujeres;1999;28
Macedonia del Norte;Mujeres;1998;55
Moldavia;Ambos sexos;2022;17.239
Moldavia;Ambos sexos;2021;17.719
Moldavia;Ambos sexos;2020;18.584
Moldavia;Ambos sexos;2019;18.387
Moldavia;Ambos sexos;2018;17.973
Moldavia;Ambos sexos;2017;17.767
Moldavia;Ambos sexos;2016;17.723
Moldavia;Ambos sexos;2015;17.263
Moldavia;Ambos sexos;2014;17.438
Moldavia;Ambos sexos;2013;17.761
Moldavia;Ambos sexos;2012;17.853
Moldavia;Ambos sexos;2011;17.688
Moldavia;Ambos sexos;2010;17.838
Moldavia;Ambos sexos;2009;17.529
Moldavia;Ambos sexos;2008;15.767
Moldavia;Ambos sexos;2007;12.801
Moldavia;Ambos sexos;2006;11.330
Moldavia;Ambos sexos;2005;9.300
Moldavia;Ambos sexos;2004;6.439
Moldavia;Ambos sexos;2003;4.572
Moldavia;Ambos sexos;2002;2.624
Moldavia;Ambos sexos;2001;1.228
Moldavia;Ambos sexos;2000;158
Moldavia;Ambos sexos;1999;44
Moldavia;Ambos sexos;1998;74
Moldavia;Hombres;2022;7.912
Moldavia;Hombres;2021;8.098
Moldavia;Hombres;2020;8.484
Moldavia;Hombres;2019;8.386
Moldavia;Hombres;2018;8.207
Moldavia;Hombres;2017;8.155
Moldavia;Hombres;2016;8.284
Moldavia;Hombres;2015;8.103
Moldavia;Hombres;2014;8.289
Moldavia;Hombres;2013;8.556
Moldavia;Hombres;2012;8.702
Moldavia;Hombres;2011;8.758
Moldavia;Hombres;2010;9.062
Moldavia;Hombres;2009;9.225
Moldavia;Hombres;2008;8.544
Moldavia;Hombres;2007;7.036
Moldavia;Hombres;2006;6.383
Moldavia;Hombres;2005;5.271
Moldavia;Hombres;2004;3.578
Moldavia;Hombres;2003;2.554
Moldavia;Hombres;2002;1.480
Moldavia;Hombres;2001;675
Moldavia;Hombres;2000;67
Moldavia;Hombres;1999;19
Moldavia;Hombres;1998;35
Moldavia;Mujeres;2022;9.327
Moldavia;Mujeres;2021;9.621
Moldavia;Mujeres;2020;10.100
Moldavia;Mujeres;2019;10.001
Moldavia;Mujeres;2018;9.766
Moldavia;Mujeres;2017;9.612
Moldavia;Mujeres;2016;9.439
Moldavia;Mujeres;2015;9.160
Moldavia;Mujeres;2014;9.149
Moldavia;Mujeres;2013;9.205
Moldavia;Mujeres;2012;9.151
Moldavia;Mujeres;2011;8.930
Moldavia;Mujeres;2010;8.776
Moldavia;Mujeres;2009;8.304
Moldavia;Mujeres;2008;7.223
Moldavia;Mujeres;2007;5.765
Moldavia;Mujeres;2006;4.947
Moldavia;Mujeres;2005;4.029
Moldavia;Mujeres;2004;2.861
Moldavia;Mujeres;2003;2.018
Moldavia;Mujeres;2002;1.143
Moldavia;Mujeres;2001;553
Moldavia;Mujeres;2000;91
Moldavia;Mujeres;1999;25
Moldavia;Mujeres;1998;38
Noruega;Ambos sexos;2022;11.577
Noruega;Ambos sexos;2021;11.148
Noruega;Ambos sexos;2020;11.977
Noruega;Ambos sexos;2019;12.313
Noruega;Ambos sexos;2018;12.320
Noruega;Ambos sexos;2017;11.973
Noruega;Ambos sexos;2016;14.683
Noruega;Ambos sexos;2015;16.322
Noruega;Ambos sexos;2014;16.794
Noruega;Ambos sexos;2013;20.232
Noruega;Ambos sexos;2012;20.597
Noruega;Ambos sexos;2011;19.621
Noruega;Ambos sexos;2010;18.890
Noruega;Ambos sexos;2009;18.011
Noruega;Ambos sexos;2008;17.116
Noruega;Ambos sexos;2007;15.630
Noruega;Ambos sexos;2006;14.154
Noruega;Ambos sexos;2005;12.548
Noruega;Ambos sexos;2004;10.545
Noruega;Ambos sexos;2003;11.304
Noruega;Ambos sexos;2002;9.018
Noruega;Ambos sexos;2001;7.088
Noruega;Ambos sexos;2000;6.227
Noruega;Ambos sexos;1999;5.311
Noruega;Ambos sexos;1998;4.369
Noruega;Hombres;2022;5.813
Noruega;Hombres;2021;5.535
Noruega;Hombres;2020;6.025
Noruega;Hombres;2019;6.190
Noruega;Hombres;2018;6.162
Noruega;Hombres;2017;5.952
Noruega;Hombres;2016;7.366
Noruega;Hombres;2015;8.155
Noruega;Hombres;2014;8.395
Noruega;Hombres;2013;10.125
Noruega;Hombres;2012;10.315
Noruega;Hombres;2011;9.874
Noruega;Hombres;2010;9.498
Noruega;Hombres;2009;9.057
Noruega;Hombres;2008;8.621
Noruega;Hombres;2007;7.869
Noruega;Hombres;2006;7.108
Noruega;Hombres;2005;6.277
Noruega;Hombres;2004;5.262
Noruega;Hombres;2003;5.547
Noruega;Hombres;2002;4.376
Noruega;Hombres;2001;3.383
Noruega;Hombres;2000;2.949
Noruega;Hombres;1999;2.462
Noruega;Hombres;1998;2.007
Noruega;Mujeres;2022;5.764
Noruega;Mujeres;2021;5.613
Noruega;Mujeres;2020;5.952
Noruega;Mujeres;2019;6.123
Noruega;Mujeres;2018;6.158
Noruega;Mujeres;2017;6.021
Noruega;Mujeres;2016;7.317
Noruega;Mujeres;2015;8.167
Noruega;Mujeres;2014;8.399
Noruega;Mujeres;2013;10.107
Noruega;Mujeres;2012;10.282
Noruega;Mujeres;2011;9.747
Noruega;Mujeres;2010;9.392
Noruega;Mujeres;2009;8.954
Noruega;Mujeres;2008;8.495
Noruega;Mujeres;2007;7.761
Noruega;Mujeres;2006;7.046
Noruega;Mujeres;2005;6.271
Noruega;Mujeres;2004;5.283
Noruega;Mujeres;2003;5.757
Noruega;Mujeres;2002;4.643
Noruega;Mujeres;2001;3.706
Noruega;Mujeres;2000;3.278
Noruega;Mujeres;1999;2.849
Noruega;Mujeres;1998;2.362
Reino Unido;Ambos sexos;2022;293.171
Reino Unido;Ambos sexos;2021;282.124
Reino Unido;Ambos sexos;2020;262.885
Reino Unido;Ambos sexos;2019;250.392
Reino Unido;Ambos sexos;2018;242.837
Reino Unido;Ambos sexos;2017;240.785
Reino Unido;Ambos sexos;2016;256.501
Reino Unido;Ambos sexos;2015;283.243
Reino Unido;Ambos sexos;2014;300.286
Reino Unido;Ambos sexos;2013;385.179
Reino Unido;Ambos sexos;2012;397.892
Reino Unido;Ambos sexos;2011;391.194
Reino Unido;Ambos sexos;2010;387.677
Reino Unido;Ambos sexos;2009;375.703
Reino Unido;Ambos sexos;2008;352.957
Reino Unido;Ambos sexos;2007;314.951
Reino Unido;Ambos sexos;2006;274.722
Reino Unido;Ambos sexos;2005;227.187
Reino Unido;Ambos sexos;2004;174.810
Reino Unido;Ambos sexos;2003;161.507
Reino Unido;Ambos sexos;2002;128.121
Reino Unido;Ambos sexos;2001;107.326
Reino Unido;Ambos sexos;2000;99.017
Reino Unido;Ambos sexos;1999;89.105
Reino Unido;Ambos sexos;1998;75.600
Reino Unido;Hombres;2022;150.374
Reino Unido;Hombres;2021;144.201
Reino Unido;Hombres;2020;133.579
Reino Unido;Hombres;2019;126.707
Reino Unido;Hombres;2018;122.605
Reino Unido;Hombres;2017;121.367
Reino Unido;Hombres;2016;129.064
Reino Unido;Hombres;2015;142.160
Reino Unido;Hombres;2014;150.751
Reino Unido;Hombres;2013;194.316
Reino Unido;Hombres;2012;201.289
Reino Unido;Hombres;2011;197.952
Reino Unido;Hombres;2010;196.389
Reino Unido;Hombres;2009;190.507
Reino Unido;Hombres;2008;179.459
Reino Unido;Hombres;2007;160.053
Reino Unido;Hombres;2006;139.329
Reino Unido;Hombres;2005;114.965
Reino Unido;Hombres;2004;88.290
Reino Unido;Hombres;2003;80.739
Reino Unido;Hombres;2002;63.326
Reino Unido;Hombres;2001;52.437
Reino Unido;Hombres;2000;47.935
Reino Unido;Hombres;1999;42.850
Reino Unido;Hombres;1998;36.201
Reino Unido;Mujeres;2022;142.797
Reino Unido;Mujeres;2021;137.923
Reino Unido;Mujeres;2020;129.306
Reino Unido;Mujeres;2019;123.685
Reino Unido;Mujeres;2018;120.232
Reino Unido;Mujeres;2017;119.418
Reino Unido;Mujeres;2016;127.437
Reino Unido;Mujeres;2015;141.083
Reino Unido;Mujeres;2014;149.535
Reino Unido;Mujeres;2013;190.863
Reino Unido;Mujeres;2012;196.603
Reino Unido;Mujeres;2011;193.242
Reino Unido;Mujeres;2010;191.288
Reino Unido;Mujeres;2009;185.196
Reino Unido;Mujeres;2008;173.498
Reino Unido;Mujeres;2007;154.898
Reino Unido;Mujeres;2006;135.393
Reino Unido;Mujeres;2005;112.222
Reino Unido;Mujeres;2004;86.520
Reino Unido;Mujeres;2003;80.768
Reino Unido;Mujeres;2002;64.795
Reino Unido;Mujeres;2001;54.888
Reino Unido;Mujeres;2000;51.082
Reino Unido;Mujeres;1999;46.255
Reino Unido;Mujeres;1998;39.399
Rusia;Ambos sexos;2022;82.380
Rusia;Ambos sexos;2021;79.485
Rusia;Ambos sexos;2020;82.788
Rusia;Ambos sexos;2019;77.715
Rusia;Ambos sexos;2018;73.930
Rusia;Ambos sexos;2017;72.234
Rusia;Ambos sexos;2016;70.927
Rusia;Ambos sexos;2015;68.387
Rusia;Ambos sexos;2014;65.034
Rusia;Ambos sexos;2013;61.513
Rusia;Ambos sexos;2012;57.644
Rusia;Ambos sexos;2011;53.166
Rusia;Ambos sexos;2010;49.820
Rusia;Ambos sexos;2009;47.432
Rusia;Ambos sexos;2008;44.669
Rusia;Ambos sexos;2007;39.798
Rusia;Ambos sexos;2006;39.904
Rusia;Ambos sexos;2005;36.319
Rusia;Ambos sexos;2004;28.451
Rusia;Ambos sexos;2003;23.748
Rusia;Ambos sexos;2002;16.789
Rusia;Ambos sexos;2001;10.047
Rusia;Ambos sexos;2000;5.199
Rusia;Ambos sexos;1999;3.416
Rusia;Ambos sexos;1998;2.537
Rusia;Hombres;2022;28.057
Rusia;Hombres;2021;26.656
Rusia;Hombres;2020;28.049
Rusia;Hombres;2019;25.897
Rusia;Hombres;2018;24.288
Rusia;Hombres;2017;23.687
Rusia;Hombres;2016;23.469
Rusia;Hombres;2015;22.624
Rusia;Hombres;2014;21.289
Rusia;Hombres;2013;19.816
Rusia;Hombres;2012;18.366
Rusia;Hombres;2011;16.663
Rusia;Hombres;2010;15.702
Rusia;Hombres;2009;15.112
Rusia;Hombres;2008;14.578
Rusia;Hombres;2007;13.125
Rusia;Hombres;2006;13.645
Rusia;Hombres;2005;12.980
Rusia;Hombres;2004;10.475
Rusia;Hombres;2003;9.210
Rusia;Hombres;2002;6.833
Rusia;Hombres;2001;4.224
Rusia;Hombres;2000;2.141
Rusia;Hombres;1999;1.406
Rusia;Hombres;1998;1.046
Rusia;Mujeres;2022;54.323
Rusia;Mujeres;2021;52.829
Rusia;Mujeres;2020;54.739
Rusia;Mujeres;2019;51.818
Rusia;Mujeres;2018;49.642
Rusia;Mujeres;2017;48.547
Rusia;Mujeres;2016;47.458
Rusia;Mujeres;2015;45.763
Rusia;Mujeres;2014;43.745
Rusia;Mujeres;2013;41.697
Rusia;Mujeres;2012;39.278
Rusia;Mujeres;2011;36.503
Rusia;Mujeres;2010;34.118
Rusia;Mujeres;2009;32.320
Rusia;Mujeres;2008;30.091
Rusia;Mujeres;2007;26.673
Rusia;Mujeres;2006;26.259
Rusia;Mujeres;2005;23.339
Rusia;Mujeres;2004;17.976
Rusia;Mujeres;2003;14.538
Rusia;Mujeres;2002;9.955
Rusia;Mujeres;2001;5.823
Rusia;Mujeres;2000;3.058
Rusia;Mujeres;1999;2.010
Rusia;Mujeres;1998;1.491
Serbia y Montenegro (Antigua Yugoslavia);Ambos sexos;2022;0
Serbia y Montenegro (Antigua Yugoslavia);Ambos sexos;2021;0
Serbia y Montenegro (Antigua Yugoslavia);Ambos sexos;2020;0
Serbia y Montenegro (Antigua Yugoslavia);Ambos sexos;2019;0
Serbia y Montenegro (Antigua Yugoslavia);Ambos sexos;2018;0
Serbia y Montenegro (Antigua Yugoslavia);Ambos sexos;2017;0
