Sex;Nationality;Five-year age group;Periodo;Total
Both sexes;Bolivia;From 35 to 39 years old;2017;384
Both sexes;Bolivia;From 35 to 39 years old;2016;350
Both sexes;Bolivia;From 35 to 39 years old;2015;336
Both sexes;Bolivia;From 35 to 39 years old;2014;304
Both sexes;Bolivia;From 35 to 39 years old;2013;318
Both sexes;Bolivia;From 35 to 39 years old;2012;294
Both sexes;Bolivia;From 35 to 39 years old;2011;342
Both sexes;Bolivia;From 35 to 39 years old;2010;326
Both sexes;Bolivia;From 35 to 39 years old;2009;540
Both sexes;Bolivia;From 35 to 39 years old;2008;1.058
Both sexes;Bolivia;From 40 to 44 years  ;2021;243
Both sexes;Bolivia;From 40 to 44 years  ;2020;220
Both sexes;Bolivia;From 40 to 44 years  ;2019;313
Both sexes;Bolivia;From 40 to 44 years  ;2018;305
Both sexes;Bolivia;From 40 to 44 years  ;2017;242
Both sexes;Bolivia;From 40 to 44 years  ;2016;249
Both sexes;Bolivia;From 40 to 44 years  ;2015;225
Both sexes;Bolivia;From 40 to 44 years  ;2014;193
Both sexes;Bolivia;From 40 to 44 years  ;2013;193
Both sexes;Bolivia;From 40 to 44 years  ;2012;186
Both sexes;Bolivia;From 40 to 44 years  ;2011;215
Both sexes;Bolivia;From 40 to 44 years  ;2010;252
Both sexes;Bolivia;From 40 to 44 years  ;2009;403
Both sexes;Bolivia;From 40 to 44 years  ;2008;710
Both sexes;Bolivia;From 45 to 49 years old;2021;152
Both sexes;Bolivia;From 45 to 49 years old;2020;120
Both sexes;Bolivia;From 45 to 49 years old;2019;228
Both sexes;Bolivia;From 45 to 49 years old;2018;222
Both sexes;Bolivia;From 45 to 49 years old;2017;182
Both sexes;Bolivia;From 45 to 49 years old;2016;159
Both sexes;Bolivia;From 45 to 49 years old;2015;148
Both sexes;Bolivia;From 45 to 49 years old;2014;125
Both sexes;Bolivia;From 45 to 49 years old;2013;161
Both sexes;Bolivia;From 45 to 49 years old;2012;137
Both sexes;Bolivia;From 45 to 49 years old;2011;172
Both sexes;Bolivia;From 45 to 49 years old;2010;156
Both sexes;Bolivia;From 45 to 49 years old;2009;233
Both sexes;Bolivia;From 45 to 49 years old;2008;429
Both sexes;Bolivia;From 50 to 54 years old;2021;89
Both sexes;Bolivia;From 50 to 54 years old;2020;92
Both sexes;Bolivia;From 50 to 54 years old;2019;154
Both sexes;Bolivia;From 50 to 54 years old;2018;142
Both sexes;Bolivia;From 50 to 54 years old;2017;131
Both sexes;Bolivia;From 50 to 54 years old;2016;130
Both sexes;Bolivia;From 50 to 54 years old;2015;108
Both sexes;Bolivia;From 50 to 54 years old;2014;112
Both sexes;Bolivia;From 50 to 54 years old;2013;75
Both sexes;Bolivia;From 50 to 54 years old;2012;75
Both sexes;Bolivia;From 50 to 54 years old;2011;137
Both sexes;Bolivia;From 50 to 54 years old;2010;110
Both sexes;Bolivia;From 50 to 54 years old;2009;156
Both sexes;Bolivia;From 50 to 54 years old;2008;225
Both sexes;Bolivia;From 55 to 59 years old;2021;70
Both sexes;Bolivia;From 55 to 59 years old;2020;63
Both sexes;Bolivia;From 55 to 59 years old;2019;132
Both sexes;Bolivia;From 55 to 59 years old;2018;119
Both sexes;Bolivia;From 55 to 59 years old;2017;136
Both sexes;Bolivia;From 55 to 59 years old;2016;113
Both sexes;Bolivia;From 55 to 59 years old;2015;81
Both sexes;Bolivia;From 55 to 59 years old;2014;71
Both sexes;Bolivia;From 55 to 59 years old;2013;49
Both sexes;Bolivia;From 55 to 59 years old;2012;70
Both sexes;Bolivia;From 55 to 59 years old;2011;75
Both sexes;Bolivia;From 55 to 59 years old;2010;58
Both sexes;Bolivia;From 55 to 59 years old;2009;64
Both sexes;Bolivia;From 55 to 59 years old;2008;123
Both sexes;Bolivia;From 60 to 64 years old;2021;41
Both sexes;Bolivia;From 60 to 64 years old;2020;46
Both sexes;Bolivia;From 60 to 64 years old;2019;123
Both sexes;Bolivia;From 60 to 64 years old;2018;103
Both sexes;Bolivia;From 60 to 64 years old;2017;111
Both sexes;Bolivia;From 60 to 64 years old;2016;101
Both sexes;Bolivia;From 60 to 64 years old;2015;61
Both sexes;Bolivia;From 60 to 64 years old;2014;42
Both sexes;Bolivia;From 60 to 64 years old;2013;23
Both sexes;Bolivia;From 60 to 64 years old;2012;40
Both sexes;Bolivia;From 60 to 64 years old;2011;34
Both sexes;Bolivia;From 60 to 64 years old;2010;39
Both sexes;Bolivia;From 60 to 64 years old;2009;35
Both sexes;Bolivia;From 60 to 64 years old;2008;53
Both sexes;Bolivia;From 65 to 69 years old;2021;21
Both sexes;Bolivia;From 65 to 69 years old;2020;33
Both sexes;Bolivia;From 65 to 69 years old;2019;107
Both sexes;Bolivia;From 65 to 69 years old;2018;111
Both sexes;Bolivia;From 65 to 69 years old;2017;94
Both sexes;Bolivia;From 65 to 69 years old;2016;82
Both sexes;Bolivia;From 65 to 69 years old;2015;60
Both sexes;Bolivia;From 65 to 69 years old;2014;39
Both sexes;Bolivia;From 65 to 69 years old;2013;35
Both sexes;Bolivia;From 65 to 69 years old;2012;29
Both sexes;Bolivia;From 65 to 69 years old;2011;31
Both sexes;Bolivia;From 65 to 69 years old;2010;19
Both sexes;Bolivia;From 65 to 69 years old;2009;21
Both sexes;Bolivia;From 65 to 69 years old;2008;30
Both sexes;Bolivia;From 70 to 74 years  ;2021;18
Both sexes;Bolivia;From 70 to 74 years  ;2020;22
Both sexes;Bolivia;From 70 to 74 years  ;2019;50
Both sexes;Bolivia;From 70 to 74 years  ;2018;54
Both sexes;Bolivia;From 70 to 74 years  ;2017;63
Both sexes;Bolivia;From 70 to 74 years  ;2016;46
Both sexes;Bolivia;From 70 to 74 years  ;2015;31
Both sexes;Bolivia;From 70 to 74 years  ;2014;27
Both sexes;Bolivia;From 70 to 74 years  ;2013;16
Both sexes;Bolivia;From 70 to 74 years  ;2012;12
Both sexes;Bolivia;From 70 to 74 years  ;2011;19
Both sexes;Bolivia;From 70 to 74 years  ;2010;13
Both sexes;Bolivia;From 70 to 74 years  ;2009;8
Both sexes;Bolivia;From 70 to 74 years  ;2008;17
Both sexes;Bolivia;From 75 to 79 years  ;2021;6
Both sexes;Bolivia;From 75 to 79 years  ;2020;15
Both sexes;Bolivia;From 75 to 79 years  ;2019;27
Both sexes;Bolivia;From 75 to 79 years  ;2018;26
Both sexes;Bolivia;From 75 to 79 years  ;2017;28
Both sexes;Bolivia;From 75 to 79 years  ;2016;27
Both sexes;Bolivia;From 75 to 79 years  ;2015;13
Both sexes;Bolivia;From 75 to 79 years  ;2014;13
Both sexes;Bolivia;From 75 to 79 years  ;2013;3
Both sexes;Bolivia;From 75 to 79 years  ;2012;4
Both sexes;Bolivia;From 75 to 79 years  ;2011;7
Both sexes;Bolivia;From 75 to 79 years  ;2010;4
Both sexes;Bolivia;From 75 to 79 years  ;2009;7
Both sexes;Bolivia;From 75 to 79 years  ;2008;6
Both sexes;Bolivia;From 80 to 84 years  ;2021;3
Both sexes;Bolivia;From 80 to 84 years  ;2020;4
Both sexes;Bolivia;From 80 to 84 years  ;2019;9
Both sexes;Bolivia;From 80 to 84 years  ;2018;20
Both sexes;Bolivia;From 80 to 84 years  ;2017;10
Both sexes;Bolivia;From 80 to 84 years  ;2016;10
Both sexes;Bolivia;From 80 to 84 years  ;2015;5
Both sexes;Bolivia;From 80 to 84 years  ;2014;3
Both sexes;Bolivia;From 80 to 84 years  ;2013;3
Both sexes;Bolivia;From 80 to 84 years  ;2012;2
Both sexes;Bolivia;From 80 to 84 years  ;2011;3
Both sexes;Bolivia;From 80 to 84 years  ;2010;1
Both sexes;Bolivia;From 80 to 84 years  ;2009;3
Both sexes;Bolivia;From 80 to 84 years  ;2008;2
Both sexes;Bolivia;From 85 to 89 years  ;2021;2
Both sexes;Bolivia;From 85 to 89 years  ;2020;0
Both sexes;Bolivia;From 85 to 89 years  ;2019;6
Both sexes;Bolivia;From 85 to 89 years  ;2018;7
Both sexes;Bolivia;From 85 to 89 years  ;2017;4
Both sexes;Bolivia;From 85 to 89 years  ;2016;2
Both sexes;Bolivia;From 85 to 89 years  ;2015;3
Both sexes;Bolivia;From 85 to 89 years  ;2014;3
Both sexes;Bolivia;From 85 to 89 years  ;2013;3
Both sexes;Bolivia;From 85 to 89 years  ;2012;1
Both sexes;Bolivia;From 85 to 89 years  ;2011;2
Both sexes;Bolivia;From 85 to 89 years  ;2010;""
Both sexes;Bolivia;From 85 to 89 years  ;2009;1
Both sexes;Bolivia;From 85 to 89 years  ;2008;""
Both sexes;Bolivia;90 years old and over;2021;0
Both sexes;Bolivia;90 years old and over;2020;2
Both sexes;Bolivia;90 years old and over;2019;0
Both sexes;Bolivia;90 years old and over;2018;1
Both sexes;Bolivia;90 years old and over;2017;1
Both sexes;Bolivia;90 years old and over;2016;0
Both sexes;Bolivia;90 years old and over;2015;""
Both sexes;Bolivia;90 years old and over;2014;1
Both sexes;Bolivia;90 years old and over;2013;1
Both sexes;Bolivia;90 years old and over;2012;3
Both sexes;Bolivia;90 years old and over;2011;1
Both sexes;Bolivia;90 years old and over;2010;""
Both sexes;Bolivia;90 years old and over;2009;1
Both sexes;Bolivia;90 years old and over;2008;1
Both sexes;Brazil;Total;2021;7.165
Both sexes;Brazil;Total;2020;8.738
Both sexes;Brazil;Total;2019;16.545
Both sexes;Brazil;Total;2018;15.504
Both sexes;Brazil;Total;2017;12.503
Both sexes;Brazil;Total;2016;9.715
Both sexes;Brazil;Total;2015;7.086
Both sexes;Brazil;Total;2014;5.644
Both sexes;Brazil;Total;2013;5.076
Both sexes;Brazil;Total;2012;6.397
Both sexes;Brazil;Total;2011;7.945
Both sexes;Brazil;Total;2010;8.691
Both sexes;Brazil;Total;2009;10.473
Both sexes;Brazil;Total;2008;20.489
Both sexes;Brazil;From 0 to 4 years old;2021;331
Both sexes;Brazil;From 0 to 4 years old;2020;494
Both sexes;Brazil;From 0 to 4 years old;2019;929
Both sexes;Brazil;From 0 to 4 years old;2018;918
Both sexes;Brazil;From 0 to 4 years old;2017;710
Both sexes;Brazil;From 0 to 4 years old;2016;585
Both sexes;Brazil;From 0 to 4 years old;2015;376
Both sexes;Brazil;From 0 to 4 years old;2014;249
Both sexes;Brazil;From 0 to 4 years old;2013;217
Both sexes;Brazil;From 0 to 4 years old;2012;211
Both sexes;Brazil;From 0 to 4 years old;2011;258
Both sexes;Brazil;From 0 to 4 years old;2010;296
Both sexes;Brazil;From 0 to 4 years old;2009;360
Both sexes;Brazil;From 0 to 4 years old;2008;721
Both sexes;Brazil;From 5 to 9 years    ;2021;391
Both sexes;Brazil;From 5 to 9 years    ;2020;421
Both sexes;Brazil;From 5 to 9 years    ;2019;854
Both sexes;Brazil;From 5 to 9 years    ;2018;786
Both sexes;Brazil;From 5 to 9 years    ;2017;602
Both sexes;Brazil;From 5 to 9 years    ;2016;450
Both sexes;Brazil;From 5 to 9 years    ;2015;267
Both sexes;Brazil;From 5 to 9 years    ;2014;224
Both sexes;Brazil;From 5 to 9 years    ;2013;222
Both sexes;Brazil;From 5 to 9 years    ;2012;336
Both sexes;Brazil;From 5 to 9 years    ;2011;466
Both sexes;Brazil;From 5 to 9 years    ;2010;611
Both sexes;Brazil;From 5 to 9 years    ;2009;682
Both sexes;Brazil;From 5 to 9 years    ;2008;1.195
Both sexes;Brazil;From 10 to 14 years  ;2021;303
Both sexes;Brazil;From 10 to 14 years  ;2020;456
Both sexes;Brazil;From 10 to 14 years  ;2019;744
Both sexes;Brazil;From 10 to 14 years  ;2018;732
Both sexes;Brazil;From 10 to 14 years  ;2017;599
Both sexes;Brazil;From 10 to 14 years  ;2016;531
Both sexes;Brazil;From 10 to 14 years  ;2015;432
Both sexes;Brazil;From 10 to 14 years  ;2014;413
Both sexes;Brazil;From 10 to 14 years  ;2013;466
Both sexes;Brazil;From 10 to 14 years  ;2012;584
Both sexes;Brazil;From 10 to 14 years  ;2011;772
Both sexes;Brazil;From 10 to 14 years  ;2010;792
Both sexes;Brazil;From 10 to 14 years  ;2009;868
Both sexes;Brazil;From 10 to 14 years  ;2008;1.308
Both sexes;Brazil;From 15 to 19 years  ;2021;337
Both sexes;Brazil;From 15 to 19 years  ;2020;523
Both sexes;Brazil;From 15 to 19 years  ;2019;1.153
Both sexes;Brazil;From 15 to 19 years  ;2018;1.021
Both sexes;Brazil;From 15 to 19 years  ;2017;929
Both sexes;Brazil;From 15 to 19 years  ;2016;716
Both sexes;Brazil;From 15 to 19 years  ;2015;656
Both sexes;Brazil;From 15 to 19 years  ;2014;537
Both sexes;Brazil;From 15 to 19 years  ;2013;503
Both sexes;Brazil;From 15 to 19 years  ;2012;653
Both sexes;Brazil;From 15 to 19 years  ;2011;779
Both sexes;Brazil;From 15 to 19 years  ;2010;763
Both sexes;Brazil;From 15 to 19 years  ;2009;792
Both sexes;Brazil;From 15 to 19 years  ;2008;1.570
Both sexes;Brazil;From 20 to 24 years;2021;736
Both sexes;Brazil;From 20 to 24 years;2020;994
Both sexes;Brazil;From 20 to 24 years;2019;2.056
Both sexes;Brazil;From 20 to 24 years;2018;1.944
Both sexes;Brazil;From 20 to 24 years;2017;1.550
Both sexes;Brazil;From 20 to 24 years;2016;1.206
Both sexes;Brazil;From 20 to 24 years;2015;1.009
Both sexes;Brazil;From 20 to 24 years;2014;913
Both sexes;Brazil;From 20 to 24 years;2013;755
Both sexes;Brazil;From 20 to 24 years;2012;1.407
Both sexes;Brazil;From 20 to 24 years;2011;1.081
Both sexes;Brazil;From 20 to 24 years;2010;1.384
Both sexes;Brazil;From 20 to 24 years;2009;1.816
Both sexes;Brazil;From 20 to 24 years;2008;3.981
Both sexes;Brazil;From 25 to 29 years  ;2021;1.144
Both sexes;Brazil;From 25 to 29 years  ;2020;1.373
Both sexes;Brazil;From 25 to 29 years  ;2019;2.544
Both sexes;Brazil;From 25 to 29 years  ;2018;2.326
Both sexes;Brazil;From 25 to 29 years  ;2017;1.934
Both sexes;Brazil;From 25 to 29 years  ;2016;1.532
Both sexes;Brazil;From 25 to 29 years  ;2015;1.148
Both sexes;Brazil;From 25 to 29 years  ;2014;924
Both sexes;Brazil;From 25 to 29 years  ;2013;809
Both sexes;Brazil;From 25 to 29 years  ;2012;977
Both sexes;Brazil;From 25 to 29 years  ;2011;1.507
Both sexes;Brazil;From 25 to 29 years  ;2010;1.665
Both sexes;Brazil;From 25 to 29 years  ;2009;2.246
Both sexes;Brazil;From 25 to 29 years  ;2008;4.633
Both sexes;Brazil;From 30 to 34 years old;2021;1.171
Both sexes;Brazil;From 30 to 34 years old;2020;1.395
Both sexes;Brazil;From 30 to 34 years old;2019;2.446
Both sexes;Brazil;From 30 to 34 years old;2018;2.351
Both sexes;Brazil;From 30 to 34 years old;2017;2.006
Both sexes;Brazil;From 30 to 34 years old;2016;1.526
Both sexes;Brazil;From 30 to 34 years old;2015;1.037
Both sexes;Brazil;From 30 to 34 years old;2014;813
Both sexes;Brazil;From 30 to 34 years old;2013;788
Both sexes;Brazil;From 30 to 34 years old;2012;811
Both sexes;Brazil;From 30 to 34 years old;2011;1.135
Both sexes;Brazil;From 30 to 34 years old;2010;1.187
Both sexes;Brazil;From 30 to 34 years old;2009;1.422
Both sexes;Brazil;From 30 to 34 years old;2008;2.831
Both sexes;Brazil;From 35 to 39 years old;2021;863
Both sexes;Brazil;From 35 to 39 years old;2020;1.092
Both sexes;Brazil;From 35 to 39 years old;2019;2.019
Both sexes;Brazil;From 35 to 39 years old;2018;1.942
Both sexes;Brazil;From 35 to 39 years old;2017;1.551
Both sexes;Brazil;From 35 to 39 years old;2016;1.146
Both sexes;Brazil;From 35 to 39 years old;2015;732
Both sexes;Brazil;From 35 to 39 years old;2014;542
Both sexes;Brazil;From 35 to 39 years old;2013;438
Both sexes;Brazil;From 35 to 39 years old;2012;501
Both sexes;Brazil;From 35 to 39 years old;2011;645
Both sexes;Brazil;From 35 to 39 years old;2010;689
Both sexes;Brazil;From 35 to 39 years old;2009;890
Both sexes;Brazil;From 35 to 39 years old;2008;1.649
Both sexes;Brazil;From 40 to 44 years  ;2021;665
Both sexes;Brazil;From 40 to 44 years  ;2020;760
Both sexes;Brazil;From 40 to 44 years  ;2019;1.371
Both sexes;Brazil;From 40 to 44 years  ;2018;1.176
Both sexes;Brazil;From 40 to 44 years  ;2017;911
Both sexes;Brazil;From 40 to 44 years  ;2016;693
Both sexes;Brazil;From 40 to 44 years  ;2015;472
Both sexes;Brazil;From 40 to 44 years  ;2014;330
Both sexes;Brazil;From 40 to 44 years  ;2013;305
Both sexes;Brazil;From 40 to 44 years  ;2012;279
Both sexes;Brazil;From 40 to 44 years  ;2011;391
Both sexes;Brazil;From 40 to 44 years  ;2010;433
Both sexes;Brazil;From 40 to 44 years  ;2009;551
Both sexes;Brazil;From 40 to 44 years  ;2008;1.101
Both sexes;Brazil;From 45 to 49 years old;2021;389
Both sexes;Brazil;From 45 to 49 years old;2020;425
Both sexes;Brazil;From 45 to 49 years old;2019;863
Both sexes;Brazil;From 45 to 49 years old;2018;741
Both sexes;Brazil;From 45 to 49 years old;2017;586
Both sexes;Brazil;From 45 to 49 years old;2016;452
Both sexes;Brazil;From 45 to 49 years old;2015;327
Both sexes;Brazil;From 45 to 49 years old;2014;226
Both sexes;Brazil;From 45 to 49 years old;2013;176
Both sexes;Brazil;From 45 to 49 years old;2012;229
Both sexes;Brazil;From 45 to 49 years old;2011;289
Both sexes;Brazil;From 45 to 49 years old;2010;317
Both sexes;Brazil;From 45 to 49 years old;2009;347
Both sexes;Brazil;From 45 to 49 years old;2008;647
Both sexes;Brazil;From 50 to 54 years old;2021;243
Both sexes;Brazil;From 50 to 54 years old;2020;289
Both sexes;Brazil;From 50 to 54 years old;2019;533
Both sexes;Brazil;From 50 to 54 years old;2018;522
Both sexes;Brazil;From 50 to 54 years old;2017;379
Both sexes;Brazil;From 50 to 54 years old;2016;293
Both sexes;Brazil;From 50 to 54 years old;2015;218
Both sexes;Brazil;From 50 to 54 years old;2014;152
Both sexes;Brazil;From 50 to 54 years old;2013;138
Both sexes;Brazil;From 50 to 54 years old;2012;153
Both sexes;Brazil;From 50 to 54 years old;2011;209
Both sexes;Brazil;From 50 to 54 years old;2010;218
Both sexes;Brazil;From 50 to 54 years old;2009;222
Both sexes;Brazil;From 50 to 54 years old;2008;420
Both sexes;Brazil;From 55 to 59 years old;2021;194
Both sexes;Brazil;From 55 to 59 years old;2020;209
Both sexes;Brazil;From 55 to 59 years old;2019;394
Both sexes;Brazil;From 55 to 59 years old;2018;398
Both sexes;Brazil;From 55 to 59 years old;2017;274
Both sexes;Brazil;From 55 to 59 years old;2016;218
Both sexes;Brazil;From 55 to 59 years old;2015;148
Both sexes;Brazil;From 55 to 59 years old;2014;136
Both sexes;Brazil;From 55 to 59 years old;2013;104
Both sexes;Brazil;From 55 to 59 years old;2012;111
Both sexes;Brazil;From 55 to 59 years old;2011;168
Both sexes;Brazil;From 55 to 59 years old;2010;142
Both sexes;Brazil;From 55 to 59 years old;2009;135
Both sexes;Brazil;From 55 to 59 years old;2008;203
Both sexes;Brazil;From 60 to 64 years old;2021;159
Both sexes;Brazil;From 60 to 64 years old;2020;124
Both sexes;Brazil;From 60 to 64 years old;2019;249
Both sexes;Brazil;From 60 to 64 years old;2018;288
Both sexes;Brazil;From 60 to 64 years old;2017;200
Both sexes;Brazil;From 60 to 64 years old;2016;142
Both sexes;Brazil;From 60 to 64 years old;2015;106
Both sexes;Brazil;From 60 to 64 years old;2014;79
Both sexes;Brazil;From 60 to 64 years old;2013;71
Both sexes;Brazil;From 60 to 64 years old;2012;66
Both sexes;Brazil;From 60 to 64 years old;2011;114
Both sexes;Brazil;From 60 to 64 years old;2010;97
Both sexes;Brazil;From 60 to 64 years old;2009;66
Both sexes;Brazil;From 60 to 64 years old;2008;117
Both sexes;Brazil;From 65 to 69 years old;2021;107
Both sexes;Brazil;From 65 to 69 years old;2020;98
Both sexes;Brazil;From 65 to 69 years old;2019;190
Both sexes;Brazil;From 65 to 69 years old;2018;170
Both sexes;Brazil;From 65 to 69 years old;2017;125
Both sexes;Brazil;From 65 to 69 years old;2016;98
Both sexes;Brazil;From 65 to 69 years old;2015;72
Both sexes;Brazil;From 65 to 69 years old;2014;51
Both sexes;Brazil;From 65 to 69 years old;2013;44
Both sexes;Brazil;From 65 to 69 years old;2012;33
Both sexes;Brazil;From 65 to 69 years old;2011;57
Both sexes;Brazil;From 65 to 69 years old;2010;52
Both sexes;Brazil;From 65 to 69 years old;2009;30
Both sexes;Brazil;From 65 to 69 years old;2008;60
Both sexes;Brazil;From 70 to 74 years  ;2021;64
Both sexes;Brazil;From 70 to 74 years  ;2020;41
Both sexes;Brazil;From 70 to 74 years  ;2019;102
Both sexes;Brazil;From 70 to 74 years  ;2018;109
Both sexes;Brazil;From 70 to 74 years  ;2017;72
Both sexes;Brazil;From 70 to 74 years  ;2016;74
Both sexes;Brazil;From 70 to 74 years  ;2015;39
Both sexes;Brazil;From 70 to 74 years  ;2014;29
Both sexes;Brazil;From 70 to 74 years  ;2013;17
Both sexes;Brazil;From 70 to 74 years  ;2012;26
Both sexes;Brazil;From 70 to 74 years  ;2011;42
Both sexes;Brazil;From 70 to 74 years  ;2010;22
Both sexes;Brazil;From 70 to 74 years  ;2009;24
Both sexes;Brazil;From 70 to 74 years  ;2008;33
Both sexes;Brazil;From 75 to 79 years  ;2021;40
Both sexes;Brazil;From 75 to 79 years  ;2020;29
Both sexes;Brazil;From 75 to 79 years  ;2019;61
Both sexes;Brazil;From 75 to 79 years  ;2018;45
Both sexes;Brazil;From 75 to 79 years  ;2017;46
Both sexes;Brazil;From 75 to 79 years  ;2016;31
Both sexes;Brazil;From 75 to 79 years  ;2015;30
Both sexes;Brazil;From 75 to 79 years  ;2014;11
Both sexes;Brazil;From 75 to 79 years  ;2013;9
Both sexes;Brazil;From 75 to 79 years  ;2012;12
Both sexes;Brazil;From 75 to 79 years  ;2011;25
Both sexes;Brazil;From 75 to 79 years  ;2010;16
Both sexes;Brazil;From 75 to 79 years  ;2009;17
Both sexes;Brazil;From 75 to 79 years  ;2008;12
Both sexes;Brazil;From 80 to 84 years  ;2021;16
Both sexes;Brazil;From 80 to 84 years  ;2020;9
Both sexes;Brazil;From 80 to 84 years  ;2019;27
Both sexes;Brazil;From 80 to 84 years  ;2018;25
Both sexes;Brazil;From 80 to 84 years  ;2017;22
Both sexes;Brazil;From 80 to 84 years  ;2016;12
Both sexes;Brazil;From 80 to 84 years  ;2015;10
Both sexes;Brazil;From 80 to 84 years  ;2014;13
Both sexes;Brazil;From 80 to 84 years  ;2013;5
Both sexes;Brazil;From 80 to 84 years  ;2012;4
Both sexes;Brazil;From 80 to 84 years  ;2011;6
Both sexes;Brazil;From 80 to 84 years  ;2010;7
Both sexes;Brazil;From 80 to 84 years  ;2009;2
Both sexes;Brazil;From 80 to 84 years  ;2008;3
Both sexes;Brazil;From 85 to 89 years  ;2021;8
Both sexes;Brazil;From 85 to 89 years  ;2020;2
Both sexes;Brazil;From 85 to 89 years  ;2019;5
Both sexes;Brazil;From 85 to 89 years  ;2018;8
Both sexes;Brazil;From 85 to 89 years  ;2017;4
Both sexes;Brazil;From 85 to 89 years  ;2016;8
Both sexes;Brazil;From 85 to 89 years  ;2015;3
Both sexes;Brazil;From 85 to 89 years  ;2014;3
Both sexes;Brazil;From 85 to 89 years  ;2013;3
Both sexes;Brazil;From 85 to 89 years  ;2012;3
Both sexes;Brazil;From 85 to 89 years  ;2011;1
Both sexes;Brazil;From 85 to 89 years  ;2010;2
Both sexes;Brazil;From 85 to 89 years  ;2009;""
Both sexes;Brazil;From 85 to 89 years  ;2008;2
Both sexes;Brazil;90 years old and over;2021;4
Both sexes;Brazil;90 years old and over;2020;4
Both sexes;Brazil;90 years old and over;2019;5
Both sexes;Brazil;90 years old and over;2018;2
Both sexes;Brazil;90 years old and over;2017;3
Both sexes;Brazil;90 years old and over;2016;2
Both sexes;Brazil;90 years old and over;2015;2
Both sexes;Brazil;90 years old and over;2014;""
Both sexes;Brazil;90 years old and over;2013;4
Both sexes;Brazil;90 years old and over;2012;1
Both sexes;Brazil;90 years old and over;2011;""
Both sexes;Brazil;90 years old and over;2010;""
Both sexes;Brazil;90 years old and over;2009;2
Both sexes;Brazil;90 years old and over;2008;1
Both sexes;Colombia;Total;2021;39.798
Both sexes;Colombia;Total;2020;51.408
Both sexes;Colombia;Total;2019;76.816
Both sexes;Colombia;Total;2018;53.302
Both sexes;Colombia;Total;2017;34.106
Both sexes;Colombia;Total;2016;22.594
Both sexes;Colombia;Total;2015;9.368
Both sexes;Colombia;Total;2014;8.451
Both sexes;Colombia;Total;2013;8.688
Both sexes;Colombia;Total;2012;9.955
Both sexes;Colombia;Total;2011;13.161
Both sexes;Colombia;Total;2010;13.664
Both sexes;Colombia;Total;2009;20.409
Both sexes;Colombia;Total;2008;36.040
Both sexes;Colombia;From 0 to 4 years old;2021;1.425
Both sexes;Colombia;From 0 to 4 years old;2020;1.957
Both sexes;Colombia;From 0 to 4 years old;2019;3.225
Both sexes;Colombia;From 0 to 4 years old;2018;2.375
Both sexes;Colombia;From 0 to 4 years old;2017;1.520
Both sexes;Colombia;From 0 to 4 years old;2016;1.012
Both sexes;Colombia;From 0 to 4 years old;2015;301
Both sexes;Colombia;From 0 to 4 years old;2014;257
Both sexes;Colombia;From 0 to 4 years old;2013;227
Both sexes;Colombia;From 0 to 4 years old;2012;249
Both sexes;Colombia;From 0 to 4 years old;2011;384
Both sexes;Colombia;From 0 to 4 years old;2010;481
Both sexes;Colombia;From 0 to 4 years old;2009;799
Both sexes;Colombia;From 0 to 4 years old;2008;857
Both sexes;Colombia;From 5 to 9 years    ;2021;2.335
Both sexes;Colombia;From 5 to 9 years    ;2020;2.577
Both sexes;Colombia;From 5 to 9 years    ;2019;3.816
Both sexes;Colombia;From 5 to 9 years    ;2018;2.453
Both sexes;Colombia;From 5 to 9 years    ;2017;1.454
Both sexes;Colombia;From 5 to 9 years    ;2016;967
Both sexes;Colombia;From 5 to 9 years    ;2015;301
Both sexes;Colombia;From 5 to 9 years    ;2014;348
Both sexes;Colombia;From 5 to 9 years    ;2013;378
Both sexes;Colombia;From 5 to 9 years    ;2012;496
Both sexes;Colombia;From 5 to 9 years    ;2011;745
Both sexes;Colombia;From 5 to 9 years    ;2010;943
Both sexes;Colombia;From 5 to 9 years    ;2009;1.614
Both sexes;Colombia;From 5 to 9 years    ;2008;2.073
Both sexes;Colombia;From 10 to 14 years  ;2021;2.183
Both sexes;Colombia;From 10 to 14 years  ;2020;2.857
Both sexes;Colombia;From 10 to 14 years  ;2019;3.976
Both sexes;Colombia;From 10 to 14 years  ;2018;2.613
Both sexes;Colombia;From 10 to 14 years  ;2017;1.678
Both sexes;Colombia;From 10 to 14 years  ;2016;1.210
Both sexes;Colombia;From 10 to 14 years  ;2015;544
Both sexes;Colombia;From 10 to 14 years  ;2014;676
Both sexes;Colombia;From 10 to 14 years  ;2013;796
Both sexes;Colombia;From 10 to 14 years  ;2012;957
Both sexes;Colombia;From 10 to 14 years  ;2011;1.401
Both sexes;Colombia;From 10 to 14 years  ;2010;1.585
Both sexes;Colombia;From 10 to 14 years  ;2009;2.382
Both sexes;Colombia;From 10 to 14 years  ;2008;3.650
Both sexes;Colombia;From 15 to 19 years  ;2021;2.514
Both sexes;Colombia;From 15 to 19 years  ;2020;3.454
Both sexes;Colombia;From 15 to 19 years  ;2019;4.894
Both sexes;Colombia;From 15 to 19 years  ;2018;3.378
Both sexes;Colombia;From 15 to 19 years  ;2017;2.409
Both sexes;Colombia;From 15 to 19 years  ;2016;1.822
Both sexes;Colombia;From 15 to 19 years  ;2015;953
Both sexes;Colombia;From 15 to 19 years  ;2014;1.068
